DEBUG 2024-11-10 00:22:38,619 autoreload File D:\FullStackProjects\TaskManagementSystem\envDjango\Lib\site-packages\django\templatetags\cache.py first seen with mtime 1730084616.923504
DEBUG 2024-11-10 00:22:38,620 autoreload File D:\FullStackProjects\TaskManagementSystem\envDjango\Lib\site-packages\zope\interface\interface.py first seen with mtime 1730084610.6468763
DEBUG 2024-11-10 00:22:38,620 autoreload File C:\Users\saura\AppData\Local\Programs\Python\Python313\Lib\re\_constants.py first seen with mtime 1728277008.0
DEBUG 2024-11-10 00:22:38,620 autoreload File D:\FullStackProjects\TaskManagementSystem\envDjango\Lib\site-packages\django\contrib\postgres\forms\array.py first seen with mtime 1730084616.1285367
DEBUG 2024-11-10 00:22:38,620 autoreload File D:\FullStackProjects\TaskManagementSystem\envDjango\Lib\site-packages\constantly\_version.py first seen with mtime 1730084609.7590237
DEBUG 2024-11-10 00:22:38,620 autoreload File D:\FullStackProjects\TaskManagementSystem\envDjango\Lib\site-packages\django\template\loaders\filesystem.py first seen with mtime 1730084616.923504
DEBUG 2024-11-10 00:22:38,620 autoreload File D:\FullStackProjects\TaskManagementSystem\envDjango\Lib\site-packages\django\utils\dateparse.py first seen with mtime 1730084616.9550476
DEBUG 2024-11-10 00:22:38,621 autoreload File D:\FullStackProjects\TaskManagementSystem\envDjango\Lib\site-packages\django\db\models\indexes.py first seen with mtime 1730084616.8295054
DEBUG 2024-11-10 00:22:38,621 autoreload File C:\Users\saura\AppData\Local\Programs\Python\Python313\Lib\asyncio\queues.py first seen with mtime 1728277008.0
DEBUG 2024-11-10 00:22:38,621 autoreload File D:\FullStackProjects\TaskManagementSystem\envDjango\Lib\site-packages\rest_framework\utils\representation.py first seen with mtime 1730084647.7602465
DEBUG 2024-11-10 00:22:38,621 autoreload File D:\FullStackProjects\TaskManagementSystem\envDjango\Lib\site-packages\twisted\logger\_logger.py first seen with mtime 1730084631.7536445
DEBUG 2024-11-10 00:22:38,621 autoreload File D:\FullStackProjects\TaskManagementSystem\envDjango\Lib\site-packages\django\utils\inspect.py first seen with mtime 1730084616.9550476
DEBUG 2024-11-10 00:22:38,621 autoreload File D:\FullStackProjects\TaskManagementSystem\envDjango\Lib\site-packages\django\core\checks\security\sessions.py first seen with mtime 1730084616.737202
DEBUG 2024-11-10 00:22:38,621 autoreload File C:\Users\saura\AppData\Local\Programs\Python\Python313\Lib\pickle.py first seen with mtime 1728277008.0
DEBUG 2024-11-10 00:22:38,622 autoreload File C:\Users\saura\AppData\Local\Programs\Python\Python313\Lib\email\_policybase.py first seen with mtime 1728277008.0
DEBUG 2024-11-10 00:22:38,622 autoreload File D:\FullStackProjects\TaskManagementSystem\envDjango\Lib\site-packages\sqlparse\engine\grouping.py first seen with mtime 1730084601.1806142
DEBUG 2024-11-10 00:22:38,622 autoreload File C:\Users\saura\AppData\Local\Programs\Python\Python313\Lib\asyncio\proactor_events.py first seen with mtime 1728277008.0
DEBUG 2024-11-10 00:22:38,622 autoreload File C:\Users\saura\AppData\Local\Programs\Python\Python313\Lib\concurrent\__init__.py first seen with mtime 1728277008.0
DEBUG 2024-11-10 00:22:38,622 autoreload File D:\FullStackProjects\TaskManagementSystem\envDjango\Lib\site-packages\rest_framework\__init__.py first seen with mtime 1730084647.572633
DEBUG 2024-11-10 00:22:38,622 autoreload File D:\FullStackProjects\TaskManagementSystem\envDjango\Lib\site-packages\django\core\__init__.py first seen with mtime 1730084616.7060606
DEBUG 2024-11-10 00:22:38,622 autoreload File C:\Users\saura\AppData\Local\Programs\Python\Python313\Lib\struct.py first seen with mtime 1728277008.0
DEBUG 2024-11-10 00:22:38,622 autoreload File D:\FullStackProjects\TaskManagementSystem\envDjango\Lib\site-packages\daphne\ws_protocol.py first seen with mtime 1730084654.6277614
DEBUG 2024-11-10 00:22:38,623 autoreload File D:\FullStackProjects\TaskManagementSystem\envDjango\Lib\site-packages\attr\_config.py first seen with mtime 1730084610.1494646
DEBUG 2024-11-10 00:22:38,623 autoreload File D:\FullStackProjects\TaskManagementSystem\envDjango\Lib\site-packages\autobahn\wamp\types.py first seen with mtime 1730084650.9273493
DEBUG 2024-11-10 00:22:38,623 autoreload File D:\FullStackProjects\TaskManagementSystem\envDjango\Lib\site-packages\django\templatetags\static.py first seen with mtime 1730084616.9391308
